Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 1090.0411870479584
Inferencing time --- 1090.2093908786774
Inferencing time --- 1090.3636968135834
Inferencing time --- 1090.4941096305847
Inferencing time --- 1093.6490368843079
Inferencing time --- 1093.8166761398315
Inferencing time --- 1093.9707779884338
Inferencing time --- 1099.7627074718475
Inferencing time --- 1099.928329706192
Inferencing time --- 1100.062284231186
Inferencing time --- 1100.5929367542267
Inferencing time --- 1103.9219572544098
Inferencing time --- 1104.0876405239105
Inferencing time --- 1104.2330684661865
Inferencing time --- 1109.93470287323
Inferencing time --- 1110.1030433177948
Inferencing time --- 1110.2508223056793
Inferencing time --- 1111.2022397518158
Inferencing time --- 1114.6864264011383
Inferencing time --- 1114.8410730361938
Inferencing time --- 1114.981854915619
Inferencing time --- 1119.9442846775055
Inferencing time --- 1120.112253665924
Inferencing time --- 1120.2650570869446
Inferencing time --- 1121.5457091331482
Inferencing time --- 1125.4942419528961
Inferencing time --- 1125.6558952331543
Inferencing time --- 1125.7858769893646
Inferencing time --- 1131.0777158737183
Inferencing time --- 1131.2427258491516
Inferencing time --- 1131.3767821788788
Inferencing time --- 1131.683841228485
Inferencing time --- 1136.9283442497253
Inferencing time --- 1137.0914089679718
Inferencing time --- 1137.2210547924042
Inferencing time --- 1141.6284399032593
Inferencing time --- 1141.7960140705109
Inferencing time --- 1141.9502534866333
Inferencing time --- 1142.0782237052917
Inferencing time --- 1146.213098526001
Inferencing time --- 1146.3671927452087
Inferencing time --- 1146.5121459960938
Inferencing time --- 1151.3480014801025
Inferencing time --- 1151.5140562057495
Inferencing time --- 1151.6514692306519
Inferencing time --- 1151.7801585197449
Inferencing time --- 1158.3137681484222
Inferencing time --- 1158.4814131259918
Inferencing time --- 1158.6296951770782
Inferencing time --- 1162.3690133094788
Inferencing time --- 1162.5370321273804
Inferencing time --- 1162.6816802024841
Inferencing time --- 1162.8088233470917
Inferencing time --- 1168.4666156768799
Inferencing time --- 1168.625468492508
Inferencing time --- 1168.7579581737518
Inferencing time --- 1173.6932768821716
Inferencing time --- 1173.8512692451477
Inferencing time --- 1173.9897954463959
